,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
85,459247,Male,Yes,58,Yes,Executive,1,Average,5,Cat_6
86,459258,Female,Yes,83,Yes,Lawyer,1,High,2,Cat_6
87,459263,Female,No,30,No,Healthcare,9,Low,4,Cat_6
88,459264,Female,No,35,Yes,Artist,0,Low,2,Cat_6
89,459266,Male,No,32,Yes,Healthcare,6,Low,5,Cat_6
90,459270,Male,Yes,69,Yes,Homemaker,1,High,2,Cat_6
91,459284,Female,Yes,71,Yes,Lawyer,1,High,2,Cat_6
92,459287,Male,No,43,Yes,Lawyer,0,Low,1,Cat_4
93,459288,Male,Yes,37,Yes,Artist,0,Low,2,Cat_6
94,459289,Male,No,42,Yes,Doctor,0,Low,1,Cat_6
95,459290,Female,Yes,70,Yes,Doctor,1,Average,2,Cat_6
96,459292,Male,No,46,Yes,Artist,0,Low,2,Cat_6
97,459293,Male,No,21,No,Healthcare,2,Low,2,Cat_1
98,459296,Male,Yes,70,Yes,Artist,0,Average,2,Cat_6
99,459300,Female,Yes,61,Yes,Artist,1,Low,2,Cat_6
100,459307,Male,Yes,60,Yes,Entertainment,1,Low,1,Cat_6
101,459310,Male,No,37,Yes,Entertainment,0,Low,2,Cat_2
102,459316,Male,Yes,30,Yes,Healthcare,1,Low,2,Cat_6
103,459318,Female,No,32,Yes,Engineer,1,Low,3,Cat_6
104,459320,Male,Yes,26,Yes,Executive,0,Low,3,Cat_6
105,459322,Male,No,42,Yes,Marketing,0,Low,1,Cat_6
106,459323,Female,No,18,No,Doctor,2,Low,2,Cat_6
107,459338,Male,Yes,80,No,Executive,2,Low,2,Cat_6
108,459339,Male,Yes,29,Yes,Healthcare,8,High,2,Cat_6
109,459344,Female,Yes,88,Yes,Artist,1,High,2,Cat_6
110,459347,Male,Yes,70,Yes,Lawyer,1,Low,1,Cat_6
111,459349,Female,Yes,50,Yes,Artist,1,High,4,Cat_6
112,459352,Male,Yes,43,Yes,Doctor,4,Average,4,Cat_3
113,459353,Male,Yes,51,Yes,Artist,6,Average,2,Cat_6
114,459354,Female,Yes,50,Yes,Artist,2,High,3,Cat_6
115,459355,Female,Yes,74,No,Homemaker,2,Low,1,Cat_6
116,459360,Female,No,29,Yes,Healthcare,2,Low,3,Cat_6
117,459361,Female,No,32,Yes,Engineer,2,Low,2,Cat_6
118,459362,Male,Yes,60,No,Executive,0,Low,2,Cat_6
119,459363,Male,No,46,Yes,Artist,2,Low,1,Cat_6
120,459364,Female,Yes,81,Yes,Marketing,0,Low,2,Cat_6
121,459369,Male,Yes,41,No,Engineer,2,Average,7,Cat_4
122,459375,Male,Yes,22,No,Executive,0,High,4,Cat_6
123,459377,Male,Yes,37,Yes,Artist,0,Average,3,Cat_6
124,459383,Male,Yes,43,No,Engineer,0,Low,1,Cat_6
125,459384,Male,Yes,50,Yes,Artist,1,Average,3,Cat_6
126,459385,Female,Yes,35,Yes,Artist,1,Average,2,Cat_7
127,459386,Male,Yes,65,No,Lawyer,1,High,2,Cat_6
128,459391,Female,No,41,Yes,Engineer,0,Low,4,Cat_6
129,459394,Male,No,28,No,Entertainment,8,Low,2,Cat_6
130,459397,Male,Yes,55,Yes,Artist,4,Average,2,Cat_6
131,459398,Female,Yes,58,No,Lawyer,2,High,2,Cat_6
132,459401,Male,No,28,No,Healthcare,1,Low,3,
133,459403,Male,Yes,48,Yes,Artist,2,Average,4,Cat_7
134,459405,Female,Yes,78,No,Doctor,1,High,2,Cat_6
135,459407,Female,No,35,Yes,Doctor,1,Low,3,Cat_6
136,459409,Female,Yes,76,Yes,Lawyer,0,High,2,Cat_6
137,459410,Female,Yes,88,Yes,Lawyer,1,High,2,Cat_6
138,459412,Male,Yes,61,Yes,No_Information,1,Average,3,Cat_6
139,459413,Female,Yes,79,Yes,Artist,2,High,2,Cat_6
140,459415,Male,No,30,No,Doctor,0,Low,4,Cat_6
141,459418,Male,Yes,69,No,Executive,0,High,2,Cat_6
142,459419,Male,Yes,65,Yes,Doctor,1,Average,2,Cat_6
143,459420,Female,Yes,70,Yes,Lawyer,1,Low,2,Cat_6
144,459421,Male,Yes,32,No,Healthcare,0,Average,4,Cat_6
145,459422,Male,Yes,46,Yes,Entertainment,2,Low,4,Cat_6
146,459423,Male,No,21,No,Healthcare,8,Low,5,Cat_6
147,459424,Male,Yes,47,Yes,Doctor,2,Low,3,Cat_6
148,459428,Female,No,39,No,Marketing,0,Low,2,Cat_4
149,459432,Male,Yes,85,Yes,Lawyer,0,Low,3,Cat_6
150,459436,Female,No,66,Yes,Artist,0,Low,2,Cat_6
151,459439,Female,Yes,50,Yes,Artist,1,Average,2,Cat_6
152,459445,Female,Yes,42,Yes,Artist,0,Average,3,Cat_6
153,459447,Male,Yes,53,Yes,Artist,9,Low,1,Cat_6
154,459449,Male,Yes,37,Yes,Artist,2,Low,2,Cat_6
155,459451,Female,Yes,45,Yes,Artist,1,Low,2,Cat_6
156,459456,Female,No,66,No,Lawyer,2,Low,1,Cat_6
157,459458,Male,No,33,No,Marketing,2,Low,2,Cat_6
158,459459,Male,Yes,40,Yes,Artist,4,Low,1,Cat_6
159,459461,Female,Yes,35,Yes,Artist,1,Low,1,Cat_1
160,459464,Male,No,27,Yes,Artist,2,Low,2,Cat_6
161,459466,Female,Yes,48,Yes,Artist,0,Average,3,Cat_4
162,459467,Female,Yes,56,Yes,Artist,0,Average,2,Cat_6
163,459469,Male,Yes,25,Yes,Healthcare,2,Low,6,Cat_6
164,459471,Female,No,30,No,Artist,2,Low,8,Cat_6
165,459480,Female,Yes,46,Yes,Entertainment,7,Low,3,Cat_6
166,459481,Male,Yes,49,No,Lawyer,0,Low,2,Cat_6
167,459482,Male,Yes,72,No,Marketing,1,Low,4,Cat_6
168,459485,Female,Yes,79,Yes,Lawyer,2,High,2,Cat_6
169,459496,Female,No,35,Yes,Artist,2,Low,3,Cat_6
170,459497,Female,Yes,77,Yes,Lawyer,0,Low,1,Cat_6
171,459499,Female,Yes,79,No,Lawyer,2,High,2,Cat_6
172,459503,Male,Yes,42,Yes,Healthcare,6,High,4,Cat_6
173,459505,Female,No,42,Yes,Engineer,2,Low,1,Cat_6
174,459507,Male,Yes,67,No,Lawyer,2,High,2,Cat_1
175,459509,Male,No,26,Yes,Healthcare,1,Low,1,Cat_6
176,459512,Male,Yes,67,Yes,Lawyer,1,High,2,Cat_6
177,459515,Male,Yes,55,Yes,Engineer,1,Low,1,Cat_6
178,459516,Female,Maybe,56,Yes,Artist,2,Average,2,Cat_6
179,459518,Male,Yes,63,,No_Information,2,Average,4,Cat_6
180,459535,Male,Yes,46,Yes,Artist,8,Average,2,Cat_6
181,459536,Male,Yes,32,Yes,Healthcare,7,Low,2,Cat_6
182,459538,Female,No,49,Yes,Homemaker,13,Low,1,Cat_6
183,459541,Male,Yes,59,Yes,Artist,1,High,2,Cat_6
184,459549,Male,No,22,No,Healthcare,8,Low,5,Cat_4
185,459555,Female,No,28,Yes,Artist,8,Low,1,Cat_6
186,459558,Male,No,28,Yes,Entertainment,1,Low,3,Cat_6
187,459564,Male,Yes,75,Yes,Lawyer,2,Low,1,Cat_6
188,459566,Female,Yes,37,Yes,Artist,13,Low,2,Cat_6
189,459567,Male,Yes,50,Yes,Doctor,0,Average,2,Cat_6
190,459571,Female,Yes,50,Yes,Executive,1,High,4,Cat_6
191,459576,Female,Yes,88,No,Lawyer,2,Low,2,
192,459579,Female,Yes,35,Yes,Artist,3,Average,5,Cat_4
193,459581,Female,No,35,No,No_Information,2,Low,2,Cat_7
194,459582,Male,Yes,31,No,Entertainment,2,Average,3,Cat_6
195,459583,Male,Yes,46,Yes,Artist,0,Low,1,Cat_6
196,459585,Female,Yes,50,Yes,Artist,1,Average,4,Cat_6
197,459587,Female,No,33,Yes,Artist,7,Low,3,Cat_6
198,459588,Male,Yes,49,Yes,Artist,0,Low,1,Cat_6
199,459591,Male,Yes,52,Yes,Artist,1,Average,3,Cat_6
200,459592,Male,No,25,No,Healthcare,0,Low,3,Cat_6
201,459594,Female,Yes,41,Yes,Artist,6,Low,1,Cat_6
202,459597,Female,Yes,68,Yes,Artist,0,High,2,Cat_6
203,459603,Female,Yes,79,No,Lawyer,2,High,2,Cat_6
204,459607,Male,Yes,40,Yes,Entertainment,5,Average,5,Cat_6
205,459608,Female,No,62,Yes,Doctor,2,Low,1,Cat_6
206,459612,Male,No,21,No,Healthcare,2,Low,2,Cat_6
207,459616,Female,No,20,No,Healthcare,2,Low,4,Cat_1
208,459617,Male,No,28,Yes,Entertainment,1,Low,5,Cat_6
209,459618,Male,Yes,57,Yes,Doctor,0,Average,2,Cat_4
210,459621,Female,No,25,No,Healthcare,8,Low,2,
211,459625,Female,Yes,63,No,Engineer,8,Low,1,Cat_6
212,459626,Female,Yes,26,No,Entertainment,1,Low,3,Cat_6
213,459632,Female,Yes,50,No,Marketing,0,High,3,Cat_4
214,459644,Female,No,30,No,Marketing,9,Low,4,Cat_2
215,459652,Female,No,26,No,Engineer,2,Low,4,Cat_4
216,459658,Male,Yes,61,Yes,Artist,1,Average,3,Cat_6
217,459664,Male,No,42,Yes,Artist,3,Low,1,Cat_6
218,459665,Male,Yes,88,Yes,Artist,4,Low,2,Cat_6
219,459672,Male,Yes,45,No,Artist,3,Average,3,Cat_6
220,459673,Female,Yes,86,Yes,Lawyer,1,Low,1,Cat_6
221,459678,Male,No,18,No,Healthcare,1,Low,5,Cat_6
222,459680,Male,No,37,Yes,Entertainment,2,Low,1,Cat_6
223,459686,Male,Yes,46,Yes,Artist,1,Low,1,Cat_6
224,459691,Male,Yes,58,No,Artist,2,Average,2,Cat_6
225,459692,Female,Yes,72,Yes,Lawyer,8,High,2,Cat_6
226,459693,Female,Yes,50,Yes,Artist,0,High,3,
227,459699,Female,Maybe,56,Yes,Engineer,8,Average,3,Cat_6
228,459701,Male,No,46,No,Artist,3,Low,3,Cat_5
229,459710,Male,Yes,57,Yes,Artist,2,Low,1,Cat_6
230,459711,Male,Yes,42,No,Executive,9,High,6,Cat_6
231,459712,Male,No,20,No,Healthcare,2,Low,4,Cat_6
232,459713,Male,No,19,No,Healthcare,2,Low,3,Cat_6
233,459715,Male,No,19,No,Healthcare,4,Low,4,Cat_6
234,459718,Male,Yes,68,Yes,Executive,1,Low,1,Cat_6
235,459725,Female,Yes,40,Yes,Artist,0,Low,2,Cat_6
236,459727,Male,Yes,82,No,Lawyer,2,High,2,Cat_6
237,459740,Female,No,23,No,Healthcare,1,Low,3,Cat_6
238,459742,Female,Yes,84,No,Lawyer,1,High,2,Cat_6
239,459745,Male,Yes,51,No,Artist,0,Low,4,Cat_1
240,459746,Male,Maybe,59,Yes,Artist,1,Average,2,Cat_6
241,459747,Female,Yes,41,Yes,Artist,1,Average,5,Cat_6
242,459748,Male,Yes,51,No,Executive,1,High,2,Cat_6
243,459755,Female,Yes,62,No,Artist,2,Average,3,Cat_6
244,459756,Female,Yes,62,No,Lawyer,1,High,4,Cat_4
245,459760,Female,Yes,38,Yes,Artist,8,Low,1,Cat_6
246,459763,Male,No,18,No,Artist,2,Low,4,Cat_4
247,459767,Male,No,22,No,Healthcare,3,Low,4,Cat_6
248,459771,Female,Maybe,30,Yes,Doctor,0,Low,3,Cat_3
249,459779,Female,Yes,62,Yes,Entertainment,1,Low,1,Cat_6
250,459780,Female,No,43,No,Entertainment,1,Low,3,Cat_6
251,459785,Female,No,32,Yes,Engineer,2,Low,1,Cat_3
252,459793,Male,Yes,37,Yes,Artist,1,High,2,Cat_6
253,459795,Male,No,48,Yes,Artist,1,Low,1,Cat_6
254,459801,Female,No,31,Yes,Engineer,4,Low,2,Cat_6
255,459804,Male,Yes,46,No,Artist,4,High,4,Cat_6
256,459806,Female,Yes,49,No,Engineer,1,Average,4,Cat_6
257,459808,Male,Yes,43,No,Doctor,2,Average,4,Cat_6
258,459815,Male,No,42,Yes,Artist,8,Low,1,Cat_6
259,459816,Male,Yes,37,Yes,Doctor,2,Low,2,Cat_6
260,459819,Male,Yes,72,Yes,Entertainment,2,High,2,Cat_6
261,459821,Male,Maybe,71,No,Executive,2,High,1,
262,459822,Female,No,39,Yes,Engineer,1,Low,1,Cat_4
263,459825,Male,No,20,No,Healthcare,0,Low,5,Cat_2
264,459827,Female,No,26,No,Student,0,Low,1,Cat_7
265,459832,Male,Yes,72,Yes,Executive,1,Low,1,Cat_6
266,459845,Male,Yes,70,Yes,Healthcare,0,Low,1,Cat_4
267,459851,Male,No,45,Yes,Artist,2,Low,1,Cat_6
268,459853,Male,No,33,No,Executive,7,Low,5,Cat_6
269,459856,Male,Yes,50,No,Entertainment,0,Average,3,Cat_6
270,459857,Male,No,31,Yes,Entertainment,6,Low,1,Cat_6
271,459861,Female,Yes,74,No,Lawyer,1,High,2,Cat_6
272,459864,Female,Yes,68,No,Artist,2,High,2,Cat_6
273,459866,Female,No,49,Yes,Artist,2,Low,1,Cat_6
274,459867,Male,Yes,49,Yes,Marketing,0,High,2,Cat_6
275,459869,Female,No,18,No,Healthcare,1,Low,3,Cat_6
276,459871,Female,Yes,85,No,Entertainment,2,Average,2,Cat_6
277,459885,Female,No,38,Yes,Entertainment,2,Low,4,Cat_6
278,459886,Male,Yes,28,No,Artist,0,Low,4,Cat_6
279,459887,Male,Yes,46,No,Artist,3,Average,2,
280,459889,Male,Yes,59,Yes,Homemaker,9,Average,3,Cat_6
281,459897,Female,Yes,56,Yes,Artist,0,Low,2,Cat_6
282,459909,Male,Yes,69,Yes,Artist,0,Low,1,Cat_6
283,459910,Male,Yes,66,Yes,Artist,0,Low,2,Cat_6
284,459911,Male,No,18,No,Healthcare,4,Low,6,Cat_2
285,459914,Male,No,36,Yes,Artist,4,Low,1,Cat_4
286,459923,Male,No,31,Yes,Marketing,1,Low,2,Cat_3
287,459925,Male,Yes,67,No,Executive,1,High,2,Cat_4
288,459937,Female,No,39,Yes,Artist,7,Low,1,Cat_6
289,459943,Male,No,42,Yes,Entertainment,4,Low,3,Cat_6
290,459945,Male,Yes,50,Yes,Artist,0,Low,2,Cat_6
291,459946,Female,Yes,37,Yes,Artist,0,Average,2,Cat_6
292,459949,Female,No,59,Yes,Artist,0,Low,1,Cat_6
293,459953,Male,Yes,50,Yes,Artist,8,Low,2,Cat_6
294,459961,Male,Yes,48,Yes,Artist,8,Low,3,Cat_2
295,459962,Male,Yes,55,Yes,Artist,9,Low,1,Cat_6
296,459966,Female,No,33,Yes,Doctor,1,Low,3,Cat_6
297,459968,Male,No,38,Yes,Artist,13,Low,1,Cat_7
298,459970,Male,No,43,Yes,Artist,0,Low,2,Cat_6
299,459973,Female,No,53,Yes,Artist,0,Low,2,Cat_6
300,459974,Male,No,37,Yes,Entertainment,0,Low,1,Cat_6
301,459975,Female,No,36,Yes,Artist,5,Low,1,Cat_6
302,459981,Male,No,36,Yes,Artist,5,Low,1,Cat_6
303,459986,Male,Yes,62,Yes,Artist,1,Low,1,Cat_6
304,459995,Female,No,38,No,Artist,2,Low,2,Cat_6
305,459996,Male,No,55,Yes,Entertainment,1,Low,1,Cat_6
306,459998,Male,Yes,60,No,Entertainment,1,Average,2,Cat_6
307,460004,Female,Yes,36,Yes,Entertainment,7,Average,2,Cat_5
308,460006,Male,No,30,No,Entertainment,5,Low,9,Cat_3
309,460014,Female,No,66,No,Entertainment,4,Low,3,Cat_6
310,460023,Male,Yes,45,Yes,Entertainment,1,Low,1,Cat_6
311,460027,Female,No,40,Yes,Entertainment,6,Low,2,Cat_6
312,460033,Female,Maybe,45,Yes,Entertainment,5,Low,3,Cat_6
313,460036,Male,Yes,41,Yes,No_Information,2,Low,1,Cat_6
314,460040,Female,Yes,62,Yes,Homemaker,4,Low,1,Cat_5
315,460045,Male,Yes,61,Yes,Artist,1,Low,2,Cat_6
316,460046,Female,Yes,50,Yes,Artist,4,Low,2,Cat_6
317,460050,Male,Yes,53,Yes,Entertainment,3,Low,2,Cat_6
318,460051,Male,No,39,Yes,Artist,7,Low,1,Cat_6
319,460052,Female,No,86,Yes,Lawyer,0,Low,1,Cat_3
320,460058,Male,Yes,50,Yes,Artist,1,Low,1,Cat_4
321,460059,Female,No,46,No,Entertainment,4,Low,2,Cat_4
322,460061,Male,No,52,Yes,Marketing,0,Low,1,Cat_3
323,460066,Female,No,45,No,Marketing,0,Low,1,Cat_6
324,460068,Female,No,37,Yes,Artist,9,Low,1,Cat_6
325,460073,Female,Yes,36,Yes,Engineer,3,Low,1,Cat_6
326,460075,Female,No,25,Yes,Artist,2,Low,1,Cat_6
327,460079,Female,No,40,No,Doctor,1,Low,1,Cat_6
328,460081,Male,Yes,41,Yes,Artist,11,High,2,Cat_6
329,460088,Female,Yes,25,Yes,Homemaker,2,High,2,Cat_6
330,460090,Male,Yes,80,No,Lawyer,4,Average,2,Cat_6
331,460093,Female,No,46,Yes,Artist,3,Low,1,Cat_3
332,460095,Female,Yes,81,Yes,Lawyer,1,Low,1,Cat_6
333,460097,Male,Maybe,40,Yes,Artist,0,Low,2,Cat_3
334,460099,Male,No,49,Yes,No_Information,1,Low,1,Cat_3
335,460101,Female,No,26,Yes,Healthcare,8,Low,3,Cat_3
336,460103,Male,No,26,Yes,Artist,1,Low,1,Cat_4
337,460105,Female,No,47,Yes,Artist,0,Low,1,Cat_4
338,460106,Female,Yes,71,Yes,Entertainment,0,Low,2,Cat_6
339,460107,Male,Yes,48,Yes,Engineer,1,Average,5,Cat_6
340,460108,Male,Yes,39,Yes,Artist,1,Average,3,Cat_2
341,460109,Male,Yes,50,Yes,Artist,8,Average,2,Cat_6
342,460110,Female,No,46,Yes,Artist,1,Low,2,
343,460112,Male,Yes,26,Yes,Engineer,8,Average,2,Cat_3
344,460116,Female,Yes,42,Yes,No_Information,1,Low,2,Cat_6
345,460118,Female,Yes,36,Yes,Artist,4,Low,2,Cat_6
346,460119,Male,No,29,Yes,Healthcare,1,Low,4,Cat_6
347,460122,Female,No,39,No,Artist,1,Low,1,Cat_6
348,460124,Female,No,41,Yes,Artist,0,Low,3,Cat_6
349,460126,Female,Yes,48,Yes,Marketing,8,Low,2,Cat_6
350,460134,Male,Yes,40,Yes,Entertainment,9,High,3,Cat_6
351,460135,Female,No,25,Yes,Healthcare,4,Low,3,Cat_6
352,460140,Female,Yes,41,Yes,Artist,7,Low,2,Cat_6
353,460141,Male,No,37,Yes,Artist,11,Low,1,Cat_6
354,460144,Female,No,53,Yes,Doctor,0,Low,2,Cat_3
355,460146,Female,Yes,51,Yes,Engineer,0,Average,3,Cat_3
356,460147,Male,Yes,73,Yes,Entertainment,1,Average,3,Cat_6
357,460157,Male,Yes,61,No,No_Information,1,Low,5,Cat_4
358,460160,Male,No,39,Yes,Entertainment,5,Low,1,Cat_3
359,460162,Female,No,19,No,Healthcare,0,Low,4,Cat_2
360,460166,Female,No,19,No,Healthcare,0,Low,7,Cat_2
361,460167,Female,No,23,No,Entertainment,1,Low,5,Cat_2
362,460168,Male,Yes,83,Yes,Executive,0,High,2,Cat_2
363,460171,Female,Yes,62,Yes,Artist,1,High,2,Cat_6
364,460174,Female,No,43,Yes,Artist,9,Low,4,Cat_6
365,460175,Female,No,27,No,Artist,0,Low,5,Cat_2
366,460177,Male,No,50,Yes,Artist,0,Low,1,Cat_6
367,460179,Female,No,23,No,Entertainment,0,Low,6,Cat_2
368,460183,Male,No,35,No,Entertainment,9,Low,2,Cat_6
369,460185,Male,No,32,No,Healthcare,9,Low,3,Cat_6
370,460187,Female,No,42,Yes,Doctor,2,Low,3,Cat_6
371,460189,Male,No,33,No,Entertainment,13,Low,1,Cat_6
372,460190,Female,No,28,Yes,Entertainment,9,Low,3,Cat_6
373,460192,Male,Yes,35,Yes,No_Information,1,Low,2,Cat_7
374,460196,Female,No,35,Yes,Healthcare,9,Low,2,Cat_6
375,460206,Female,Yes,39,Yes,Entertainment,0,Low,2,Cat_6
376,460211,Male,Yes,28,No,Artist,6,Low,1,Cat_6
377,460212,Male,Yes,35,Yes,Entertainment,11,Low,6,Cat_6
378,460214,Female,Yes,45,Yes,Engineer,0,Average,2,Cat_6
379,460222,Female,Maybe,73,Yes,Lawyer,4,High,2,Cat_6
380,460223,Male,No,52,No,Entertainment,1,Low,1,Cat_6
381,460227,Male,No,28,No,Healthcare,0,Low,3,Cat_6
382,460242,Male,Yes,38,Yes,Healthcare,9,Low,3,Cat_6
383,460243,Female,No,42,Yes,Entertainment,8,Low,1,Cat_6
384,460247,Female,No,26,No,Doctor,9,Low,2,Cat_6
385,460248,Female,No,27,Yes,Healthcare,7,Low,2,Cat_6
386,460252,Male,Yes,41,Yes,Artist,0,Low,2,Cat_6
387,460263,Male,Yes,41,Yes,Artist,1,Low,2,Cat_6
388,460265,Male,Yes,47,Yes,Executive,0,High,4,Cat_6
389,460270,Male,No,35,Yes,Doctor,8,Low,1,Cat_6
390,460272,Female,No,88,Yes,Lawyer,0,Low,1,Cat_6
391,460275,Female,No,46,Yes,Artist,6,Low,1,Cat_6
392,460276,Female,Yes,41,Yes,Artist,3,Low,2,Cat_6
393,460281,Female,No,30,Yes,Doctor,10,Low,5,Cat_6
394,460283,Male,Yes,43,Yes,Doctor,12,Low,2,Cat_6
395,460284,Female,No,29,Yes,Entertainment,9,Low,2,Cat_6
396,460287,Male,Yes,48,Yes,Artist,1,Low,1,Cat_6
397,460289,Female,Yes,61,Yes,Artist,4,Average,6,Cat_4
398,460298,Female,No,51,Yes,Lawyer,2,Low,1,Cat_6
399,460303,Female,No,38,Yes,Artist,2,Low,1,
400,460305,Female,Maybe,49,Yes,Entertainment,0,High,1,Cat_6
401,460306,Female,No,43,Yes,Healthcare,9,Low,1,Cat_6
402,460310,Male,No,27,No,Healthcare,14,Low,4,Cat_6
403,460315,Female,No,35,No,Doctor,14,Low,6,Cat_7
404,460319,Female,Yes,39,No,Doctor,4,Average,2,Cat_7
